node_id,address,leak,manual_address,longitude,latitude,api_check
14046968,KERKSTRASD 43 A; 2271 CR VOORBURG; THE NETHERLANDS,Panama Papers,,,,True
14047180,Klagerstuin 47; 1689; JP Zwaag; Netherlands,Panama Papers,,5.0585816,52.6668456,True
14047420,KRAAL 36; SLIEDRECHT 3362 WD; THE NETHERLANDS,Panama Papers,,4.801276,51.8213781,True
14047479,Kruisweg 680 2131 MD; Hoofddorp Hollande; The Netherlands,Panama Papers,,4.6803054,52.3119067,True
14047593,Laan 1933 # 37; 67 Nx; City; Ede; The Netherlands,Panama Papers,,,,True
14047594,LAAN VAN MECKLENBURG 26; 4818 GD BREADA; THE NETHERLANDS,Panama Papers,,,,True
14048019,Latijns-Amerikalaan 82; 2622 BD Delft; The Netherlands,Panama Papers,,4.349351,51.9837992,True
14048870,Lorentzplein 5; 20 12HG Haarlem; The Netherlands,Panama Papers,,,,True
14049010,Louise de Colignylaan 13B; 2082 BM; Santpoort – Zuid; Netherlands,Panama Papers,,4.627361,52.4238111,True
14049079,Ludgerushof 2; 3632 HA Loenen aan de Vecht; The Netherlands,Panama Papers,,5.0104981,52.2217786,True
14049175,M:van Oosternrijklaan 32; 2325 EN Leiderdorp; The Netherlands,Panama Papers,,,,True
14049201,Maassluisstraat 416A; 1062GS; Amsterdam; The Netherlands,Panama Papers,,4.8353288,52.348705,True
14049555,Margaretha van Oostenrijklaan # 32  2353 EN Leiderdorp  The Netherlands,Panama Papers,,4.5300002,52.1722815,True
14049687,Matinus Nijhoffstraat 52-1; 1064 HK; Amsterdam.,Panama Papers,,,,True
14049963,MESDAGLAAN 10C; BOSCH EN DUIN; 3735 II; NETHERLANDS,Panama Papers,,,,True
14049964,MESDAGLAAN 10C; BOSCH EN DUIN; 3735 LI; NETHERLANDS,Panama Papers,,,,True
14050106,Midrethstraat 57 3641 CC Mijdrecht,Panama Papers,,4.8609756,52.2031199,True
14050315,"Moerasvaren 47 2661 PX Bergschenhoek, The Netherlands",Panama Papers,,4.5037331,51.9923189,True
14050326,Molenberglaan 29; 6416 EK Heerlen; The Netherlands.,Panama Papers,,5.9896682,50.8812867,True
14050327,Molenkampweg 23; 7971 BN Havelte; The Netherlands,Panama Papers,,6.235041,52.7730015,True
14050328,Molenkampweg 23; BN Havelte 7971; The Netherlands,Panama Papers,,6.2347364,52.7729886,True
14050333,Mollerusweg 74 2031 BZ Haarlem the Netherlands,Panama Papers,,4.6646214,52.3930578,True
14051187,"Naritaweg 165,  1043 BW Amsterdam The Netherlands",Panama Papers,,4.832731,52.3862975,True
14051191,Narva 10; 4141MJ Leerdam; The Netherlands,Panama Papers,,5.0971413,51.8891408,True
14051471,Nieuwe Hemweg 6-L; 1013 BG Amsterdam; Holland,Panama Papers,,4.8681461,52.3947852,True
14051473,Nieuwe Uitleg 28 2514 BR The Hague Holland,Panama Papers,,4.3145866,52.0849365,True
14051474,NIEUWEZIJDS VOORBURGWAL 86 POSTBUS 93 1012 SE NETHERLANDS,Panama Papers,,,,True
14051479,Nijhofflaan 2; 2624 ES Delft the Netherlands,Panama Papers,,4.3540524,51.9973364,True
14059447,Nonnenmate 31; 7006 CM Doetinchem; The Netherlands,Panama Papers,,6.2690733,51.9612539,True
14059448,Noord Brabantlaan 265; Eindhoven; 5652LD; Netherlands,Panama Papers,,5.429427,51.4373507,True
